source,target,weight
CS120,CS130,11
CS120,CS132,8
CS120,CS134,2
CS120,CS240,-7
CS120,CS241,-10
CS120,CS245,-1
CS120,CS246,-4
CS120,CS251,-1
CS120,CS341,-9
CS120,CS343,-3
CS120,CS349,-7
CS120,CS350,-10
CS120,CS360,-5
CS120,CS370,-2
CS120,CS445,-6
CS120,CS448,-3
CS120,CS454,-2
CS120,CS456,-5
CS120,CS480,5
CS120,CS486,-4
CS125,CS134,-1
CS125,CS240,-5
CS125,CS241,-7
CS125,CS245,2
CS125,CS246,-8
CS125,CS251,-2
CS125,CS341,-9
CS125,CS343,-4
CS125,CS348,-3
CS125,CS349,-9
CS125,CS350,-8
CS125,CS360,-6
CS125,CS370,-3
CS125,CS445,0
CS125,CS454,-5
CS125,CS456,-4
CS125,CS458,-6
CS125,CS486,-6
CS130,CS132,3
CS130,CS134,1
CS130,CS234,-4
CS130,CS240,-6
CS130,CS241,-5
CS130,CS245,-3
CS130,CS246,0
CS130,CS251,0
CS130,CS330,1
CS130,CS338,-2
CS130,CS341,-5
CS130,CS342,-5
CS130,CS343,-3
CS130,CS349,-2
CS130,CS350,-4
CS130,CS354,-7
CS130,CS360,-5
CS130,CS365,6
CS130,CS370,-2
CS130,CS442,-4
CS130,CS444,-4
CS130,CS445,-2
CS130,CS446,2
CS130,CS447,3
CS130,CS448,-2
CS130,CS450,4
CS130,CS452,6
CS130,CS454,-1
CS130,CS456,-3
CS130,CS457,1
CS130,CS462,-6
CS130,CS466,-2
CS130,CS476,-4
CS130,CS480,5
CS130,CS482,9
CS130,CS483,-6
CS130,CS486,0
CS130,CS487,0
CS130,CS488,-2
CS130,CS492,8
CS130,CS498,-3
CS131,CS132,6
CS131,CS134,-2
CS131,CS230,-16
CS131,CS234,-1
CS131,CS240,-6
CS131,CS241,-7
CS131,CS245,-2
CS131,CS246,-7
CS131,CS251,-4
CS131,CS330,2
CS131,CS338,-3
CS131,CS341,-7
CS131,CS343,-5
CS131,CS348,-3
CS131,CS349,-1
CS131,CS350,-9
CS131,CS360,-6
CS131,CS370,-2
CS131,CS430,1
CS131,CS432,6
CS131,CS445,-1
CS131,CS446,4
CS131,CS448,-5
CS131,CS452,-2
CS131,CS454,-3
CS131,CS456,-5
CS131,CS466,-6
CS131,CS480,-1
CS131,CS482,-2
CS131,CS483,-1
CS131,CS486,-5
CS131,CS488,-6
CS131,CS489,1
CS131,CS490,2
CS131,CS492,8
CS132,CS134,-2
CS132,CS230,-14
CS132,CS234,-3
CS132,CS240,-6
CS132,CS241,-8
CS132,CS245,-2
CS132,CS246,-6
CS132,CS251,-4
CS132,CS330,2
CS132,CS338,-1
CS132,CS341,-8
CS132,CS343,-4
CS132,CS348,-3
CS132,CS349,-3
CS132,CS350,-9
CS132,CS360,-6
CS132,CS370,-3
CS132,CS430,0
CS132,CS432,7
CS132,CS445,-2
CS132,CS446,5
CS132,CS448,-4
CS132,CS452,-1
CS132,CS454,-3
CS132,CS456,-5
CS132,CS458,-3
CS132,CS466,-4
CS132,CS480,2
CS132,CS482,-2
CS132,CS483,-1
CS132,CS486,-4
CS132,CS488,-6
CS132,CS489,1
CS132,CS490,2
CS132,CS492,10
CS133,CS132,5
CS133,CS134,0
CS133,CS240,-4
CS133,CS241,-4
CS133,CS245,-2
CS133,CS246,-4
CS133,CS251,-1
CS133,CS330,2
CS133,CS338,-1
CS133,CS341,-6
CS133,CS343,-4
CS133,CS348,2
CS133,CS349,1
CS133,CS350,-4
CS133,CS360,-3
CS133,CS365,2
CS133,CS370,-3
CS133,CS371,-3
CS133,CS442,-3
CS133,CS444,-5
CS133,CS445,2
CS133,CS446,6
CS133,CS447,-1
CS133,CS448,-2
CS133,CS450,4
CS133,CS452,3
CS133,CS454,1
CS133,CS456,0
CS133,CS457,-2
CS133,CS458,-2
CS133,CS462,1
CS133,CS466,-3
CS133,CS476,-12
CS133,CS480,4
CS133,CS482,-1
CS133,CS483,3
CS133,CS486,-1
CS133,CS488,-3
CS133,CS489,2
CS133,CS490,2
CS133,CS492,10
CS133,CS497,9
CS134,CS230,-14
CS134,CS234,-1
CS134,CS240,-4
CS134,CS241,-4
CS134,CS245,-2
CS134,CS246,-3
CS134,CS251,0
CS134,CS330,2
CS134,CS338,-1
CS134,CS341,-6
CS134,CS342,-5
CS134,CS343,-4
CS134,CS348,0
CS134,CS349,-1
CS134,CS350,-4
CS134,CS354,-3
CS134,CS360,-4
CS134,CS365,1
CS134,CS370,-3
CS134,CS371,-4
CS134,CS430,0
CS134,CS432,3
CS134,CS436,-9
CS134,CS442,-2
CS134,CS444,-2
CS134,CS445,0
CS134,CS446,5
CS134,CS447,0
CS134,CS448,-2
CS134,CS450,5
CS134,CS452,4
CS134,CS454,-1
CS134,CS456,-2
CS134,CS457,-2
CS134,CS458,-1
CS134,CS462,0
CS134,CS466,-2
CS134,CS467,-4
CS134,CS472,0
CS134,CS473,1
CS134,CS476,-5
CS134,CS480,3
CS134,CS482,2
CS134,CS483,-1
CS134,CS486,-2
CS134,CS487,1
CS134,CS488,-2
CS134,CS489,2
CS134,CS490,2
CS134,CS492,9
CS134,CS497,9
CS134,CS498,-1
CS134,CS499,9
CS135,CS136,-2
CS135,CS240,-1
CS135,CS241,3
CS135,CS245,2
CS135,CS246,-3
CS135,CS251,3
CS135,CS341,0
CS135,CS343,-4
CS135,CS348,4
CS135,CS349,2
CS135,CS350,2
CS135,CS360,4
CS135,CS365,-2
CS135,CS370,-3
CS135,CS445,8
CS135,CS454,3
CS135,CS456,1
CS135,CS458,-3
CS135,CS466,4
CS135,CS486,-1
CS135,CS488,0
CS136,CS240,0
CS136,CS241,4
CS136,CS245,2
CS136,CS246,-3
CS136,CS251,4
CS136,CS341,0
CS136,CS343,-4
CS136,CS348,4
CS136,CS349,2
CS136,CS350,3
CS136,CS360,4
CS136,CS365,-2
CS136,CS370,-3
CS136,CS454,3
CS136,CS456,0
CS136,CS458,-2
CS136,CS466,4
CS136,CS486,-1
CS136,CS488,0
CS234,CS246,-11
CS234,CS330,-2
CS234,CS338,0
CS234,CS341,-18
CS234,CS370,-9
CS234,CS430,2
CS234,CS432,4
CS240,CS245,-1
CS240,CS246,-2
CS240,CS251,3
CS240,CS330,2
CS240,CS338,-1
CS240,CS341,-5
CS240,CS342,-2
CS240,CS343,-4
CS240,CS348,0
CS240,CS349,-1
CS240,CS350,-4
CS240,CS354,-1
CS240,CS360,-2
CS240,CS365,1
CS240,CS370,-2
CS240,CS371,-3
CS240,CS430,-3
CS240,CS432,5
CS240,CS436,-7
CS240,CS442,-2
CS240,CS444,-1
CS240,CS445,2
CS240,CS446,4
CS240,CS447,0
CS240,CS448,-1
CS240,CS450,3
CS240,CS452,4
CS240,CS454,0
