,StudentID,CourseNumber_x,Term_x,Grade_x,CourseNumber_y,Term_y,Grade_y
0,398848,246,27,50,330,41,85
1,923620,246,17,34,330,33,54
2,923620,246,23,42,330,33,54
3,662695,246,31,45,330,37,69
4,143180,246,27,50,330,37,80
5,801568,246,27,58,330,41,81
7,690378,246,33,53,330,41,63
8,429651,246,23,52,330,31,82
11,308859,246,11,77,330,17,54
12,833862,246,21,55,330,25,66
13,178720,246,13,50,330,23,80
15,708493,246,15,32,330,21,78
16,839734,246,21,38,330,33,68
17,839734,246,27,34,330,33,68
18,973230,246,23,54,330,31,65
20,465175,246,11,74,330,35,64
21,859548,246,31,35,330,43,68
22,859548,246,33,39,330,43,68
23,598805,246,21,65,330,31,78
24,996767,246,11,46,330,23,77
25,996767,246,17,50,330,23,77
26,873312,246,21,70,330,27,80
27,752888,246,37,50,330,47,80
28,491142,246,13,70,330,33,71
29,766745,246,27,68,330,41,77
34,257749,246,21,36,330,25,62
35,261829,246,21,46,330,27,60
36,261829,246,21,46,330,61,79
