grade1,grade2
51,60
82,78
92,92
93,100
75,82
74,76
84,83
64,58
99,88
67,55
91,97
69,70
72,72
58,52
75,52
70,51
78,85
91,75
40,38
40,44
62,38
62,44
89,91
62,76
79,73
60,40
97,94
63,58
90,85
73,58
69,59
75,56
96,100
66,100
77,68
70,83
85,72
63,62
72,72
90,89
99,95
75,77
86,91
84,97
93,100
82,87
83,71
91,95
88,68
89,85
89,100
78,84
80,82
85,90
80,71
61,65
89,71
79,92
87,88
87,91
100,100
92,98
80,76
86,94
79,89
76,57
87,66
76,71
81,67
66,87
84,88
94,99
77,94
87,65
94,100
87,92
58,53
83,79
71,53
76,94
83,93
81,94
92,96
74,96
73,63
79,78
81,100
83,94
100,77
92,73
68,52
93,77
87,84
86,86
80,64
63,11
87,83
86,67
95,77
69,84
72,79
58,52
83,75
70,100
71,70
75,69
75,61
66,79
53,55
62,33
60,68
86,56
81,72
83,71
81,78
82,73
84,96
81,52
98,100
97,87
76,78
81,70
93,89
89,100
86,58
93,100
92,100
69,52
74,58
62,65
69,55
89,82
86,94
94,94
70,57
84,67
69,66
78,79
83,68
62,64
95,82
75,71
70,52
