CS251,CS442
87,96
77,80
79,72
78,97
79,75
78,58
66,79
94,94
81,64
80,51
83,95
69,66
68,70
86,80
79,45
84,72
89,59
78,60
85,79
89,52
82,94
66,69
82,81
81,58
73,72
82,76
76,69
87,83
95,96
92,91
92,68
83,50
93,95
53,93
82,71
78,64
82,58
95,99
81,75
73,65
79,73
88,85
90,78
59,68
87,94
75,89
67,65
85,62
70,55
83,63
92,100
91,95
51,72
83,68
74,71
90,93
80,82
92,93
77,50
83,71
58,94
72,68
80,94
91,68
84,57
87,87
76,56
84,78
88,66
71,81
81,70
74,75
87,71
74,82
76,73
80,54
82,64
86,83
81,75
69,38
79,94
88,76
66,70
69,74
80,80
92,79
87,84
83,92
70,59
84,75
64,29
76,77
88,57
78,74
66,59
79,52
83,85
69,92
86,84
69,62
70,70
65,80
79,71
78,62
91,63
88,68
89,82
90,100
50,85
70,63
79,71
87,95
75,67
54,66
78,66
92,91
81,65
87,91
80,72
89,83
74,62
90,100
77,63
69,81
